coin,rows,error,source,days_attempted
eth,186,,cryptocompare,7
bnb,186,,cryptocompare,7
xrp,185,,cryptocompare,7
btc,186,,cryptocompare,7
steth,185,,cryptocompare,7
doge,186,,cryptocompare,7
trx,185,,cryptocompare,7
sol,185,,cryptocompare,7
hype,185,,cryptocompare,7
sui,185,,cryptocompare,7
wbtc,185,,cryptocompare,7
ada,186,,cryptocompare,7
link,185,,cryptocompare,7
avax,186,,cryptocompare,7
xlm,185,,cryptocompare,7
ton,185,,cryptocompare,7
shib,185,,cryptocompare,7
bch,186,,cryptocompare,7
leo,185,,cryptocompare,7
weeth,184,,cryptocompare,7
hbar,185,,cryptocompare,7
ltc,185,,cryptocompare,7
dot,186,,cryptocompare,7
xmr,185,,cryptocompare,7
usde,185,,cryptocompare,7
bgb,186,,cryptocompare,7
pepe,185,,cryptocompare,7
bsc-usd,0,No data saved,,7
pi,185,,cryptocompare,7
uni,185,,cryptocompare,7
aave,186,,cryptocompare,7
wbt,185,,cryptocompare,7
cbbtc,0,No data saved,,7
dai,186,,cryptocompare,7
tao,185,,cryptocompare,7
susde,0,No data saved,,7
okb,185,,cryptocompare,7
apt,186,,cryptocompare,7
icp,185,,cryptocompare,7
near,185,,cryptocompare,7
cro,186,,cryptocompare,7
jitosol,185,,cryptocompare,7
etc,186,,cryptocompare,7
ondo,185,,cryptocompare,7
weth,168,,cryptocompare,7
buidl,0,No data saved,,7
usdc,185,,cryptocompare,7
usdt,185,,cryptocompare,7
tkx,185,,cryptocompare,7
kas,185,,cryptocompare,7
vet,185,,cryptocompare,7
gt,353,,cryptocompare,14
susds,0,No data saved,,7
trump,185,,cryptocompare,7
ena,186,,cryptocompare,7
atom,186,,cryptocompare,7
pol,185,,cryptocompare,7
usd1,185,,cryptocompare,7
fet,186,,cryptocompare,7
ftn,185,,cryptocompare,7
render,185,,cryptocompare,7
arb,186,,cryptocompare,7
sky,185,,cryptocompare,7
fil,185,,cryptocompare,7
wld,185,,cryptocompare,7
qnt,185,,cryptocompare,7
algo,186,,cryptocompare,7
spx,185,,cryptocompare,7
jlp,185,,cryptocompare,7
fdusd,186,,cryptocompare,7
bnsol,185,,cryptocompare,7
kcs,185,,cryptocompare,7
usdt0,0,No data saved,,7
tia,185,,cryptocompare,7
usdtb,0,No data saved,,7
virtual,185,,cryptocompare,7
jup,185,,cryptocompare,7
fartcoin,186,,cryptocompare,7
inj,185,,cryptocompare,7
bonk,186,,cryptocompare,7
reth,0,No data saved,,7
flr,185,,cryptocompare,7
rseth,0,No data saved,,7
nexo,185,,cryptocompare,7
op,185,,cryptocompare,7
s,185,,cryptocompare,7
ip,185,,cryptocompare,7
sei,185,,cryptocompare,7
stx,185,,cryptocompare,7
pyusd,185,,cryptocompare,7
imx,185,,cryptocompare,7
xdc,185,,cryptocompare,7
susde,632,,coingecko,14
bsc-usd,0,No data saved,,7
buidl,0,No data saved,,7
cbbtc,0,No data saved,,7
susds,0,No data saved,,7
usdtb,0,No data saved,,7
usdt0,0,No data saved,,7
reth,0,No data saved,,7
rseth,0,No data saved,,7
bsc-usd,296,,coingecko,7
susds,0,No data saved,,7
buidl,0,No data saved,,7
cbbtc,0,No data saved,,7
usdt0,0,No data saved,,7
usdtb,0,No data saved,,7
rseth,0,No data saved,,7
reth,0,No data saved,,7
